workload,variant,commit,run,write_ns,read_ns,sync_ns,dirty_sync_ns,clean_sync_ns,unmount_ns
sync-cycle,implementation,a3b761580,19,,,,7601,213,5071
sync-cycle,implementation,a3b761580,20,,,,7557,221,5208
sync-cycle,implementation,a3b761580,21,,,,7784,219,5170
sync-cycle,implementation,a3b761580,22,,,,7465,180,5412
sync-cycle,implementation,a3b761580,23,,,,7898,187,5100
sync-cycle,implementation,a3b761580,24,,,,7572,215,5225
sync-cycle,implementation,a3b761580,25,,,,7693,209,5303
sync-cycle,implementation,a3b761580,26,,,,7725,177,5741
sync-cycle,implementation,a3b761580,27,,,,7759,231,5215
sync-cycle,implementation,a3b761580,28,,,,7504,233,4844
sync-cycle,implementation,a3b761580,29,,,,7884,195,5038
sync-cycle,implementation,a3b761580,30,,,,7660,185,4907
sync-cycle,implementation,a3b761580,31,,,,7589,193,5154
sync-cycle,implementation,a3b761580,32,,,,7430,222,5020
sync-cycle,implementation,a3b761580,33,,,,7607,178,4936
sync-cycle,implementation,a3b761580,34,,,,7657,189,4927
sync-cycle,implementation,a3b761580,35,,,,7333,223,5243
sync-cycle,implementation,a3b761580,36,,,,7430,187,4845
sync-cycle,implementation,a3b761580,37,,,,7923,202,5196
sync-cycle,implementation,a3b761580,38,,,,7475,257,5065
sync-cycle,implementation,a3b761580,39,,,,7441,206,5229
sync-cycle,implementation,a3b761580,40,,,,7498,195,5092
sync-cycle,implementation,a3b761580,41,,,,8214,186,5400
sync-cycle,implementation,a3b761580,42,,,,7800,205,5419
sync-cycle,implementation,a3b761580,43,,,,7489,193,4875
sync-cycle,implementation,a3b761580,44,,,,7459,201,5336
sync-cycle,implementation,a3b761580,45,,,,10262,203,5131
sync-cycle,implementation,a3b761580,46,,,,8666,267,5870
sync-cycle,implementation,a3b761580,47,,,,7949,229,5323
sync-cycle,implementation,a3b761580,48,,,,7332,204,4933
sync-cycle,implementation,a3b761580,49,,,,7423,222,4923
