commit,batch,position,run,dirty_sync_ns,clean_sync_ns,unmount_ns
a91e89cd8,6,0,14,13731,231,9068
a91e89cd8,6,0,15,14108,289,10788
a91e89cd8,6,0,16,17089,303,11792
a91e89cd8,6,0,17,17449,346,12640
a91e89cd8,6,0,18,14377,268,8916
a91e89cd8,6,0,19,14382,282,9753
897d40a01,6,1,0,17529,377,9594
897d40a01,6,1,1,13704,285,9765
897d40a01,6,1,2,14401,277,10000
897d40a01,6,1,3,15226,230,10339
897d40a01,6,1,4,14967,319,9751
897d40a01,6,1,5,16142,281,10630
897d40a01,6,1,6,14628,307,8764
897d40a01,6,1,7,14652,277,9731
897d40a01,6,1,8,14155,303,9918
897d40a01,6,1,9,14882,353,9440
897d40a01,6,1,10,15736,338,9403
897d40a01,6,1,11,14321,304,9731
897d40a01,6,1,12,16891,334,12158
897d40a01,6,1,13,15868,317,9638
897d40a01,6,1,14,16159,347,9929
897d40a01,6,1,15,15030,328,10753
897d40a01,6,1,16,17835,273,10692
897d40a01,6,1,17,20352,580,14932
897d40a01,6,1,18,15871,370,10224
897d40a01,6,1,19,14739,339,9939
897d40a01,7,0,0,20872,653,13957
897d40a01,7,0,1,14522,306,9616
897d40a01,7,0,2,13638,324,9950
897d40a01,7,0,3,20992,773,15046
897d40a01,7,0,4,21575,657,14584
897d40a01,7,0,5,19974,674,13611
897d40a01,7,0,6,21519,657,13982
897d40a01,7,0,7,14810,428,9958
897d40a01,7,0,8,18675,521,19553
897d40a01,7,0,9,19704,499,20388
897d40a01,7,0,10,17631,243,11868
897d40a01,7,0,11,14669,404,9769
897d40a01,7,0,12,19967,552,14489
897d40a01,7,0,13,21445,659,15526
897d40a01,7,0,14,16019,319,10549
897d40a01,7,0,15,21251,528,15405
897d40a01,7,0,16,19351,480,14733
897d40a01,7,0,17,13776,259,9556
897d40a01,7,0,18,15025,395,9277
897d40a01,7,0,19,14512,299,8719
a91e89cd8,7,1,0,14867,275,10349
a91e89cd8,7,1,1,14323,262,10035
a91e89cd8,7,1,2,14970,288,10011
a91e89cd8,7,1,3,14436,318,10881
a91e89cd8,7,1,4,14488,286,9489
a91e89cd8,7,1,5,14595,250,30455
a91e89cd8,7,1,6,17597,308,10787
a91e89cd8,7,1,7,27588,367,20637
a91e89cd8,7,1,8,15410,260,9708
a91e89cd8,7,1,9,14756,298,10266
a91e89cd8,7,1,10,13639,222,9211
a91e89cd8,7,1,11,13840,268,9647
a91e89cd8,7,1,12,14445,266,10054
a91e89cd8,7,1,13,12461,175,8836
a91e89cd8,7,1,14,13635,183,8930
a91e89cd8,7,1,15,12750,206,9161
a91e89cd8,7,1,16,12088,324,8686
a91e89cd8,7,1,17,11470,178,9044
a91e89cd8,7,1,18,13213,268,9489
a91e89cd8,7,1,19,12763,254,9176
a91e89cd8,8,0,0,10123,200,7221
a91e89cd8,8,0,1,10179,260,7156
a91e89cd8,8,0,2,12080,194,8040
a91e89cd8,8,0,3,13717,205,9263
a91e89cd8,8,0,4,13167,228,9419
a91e89cd8,8,0,5,13726,189,7988
a91e89cd8,8,0,6,12703,221,8416
a91e89cd8,8,0,7,12650,221,8712
a91e89cd8,8,0,8,12087,199,8238
a91e89cd8,8,0,9,11190,188,7211
a91e89cd8,8,0,10,8455,178,6263
a91e89cd8,8,0,11,8232,163,6067
a91e89cd8,8,0,12,8988,180,6450
a91e89cd8,8,0,13,8244,204,6035
a91e89cd8,8,0,14,8579,190,5683
a91e89cd8,8,0,15,8760,198,6468
a91e89cd8,8,0,16,11573,237,6876
a91e89cd8,8,0,17,17405,474,12809
a91e89cd8,8,0,18,12882,241,8233
a91e89cd8,8,0,19,11556,274,7986
897d40a01,8,1,0,9556,275,6280
897d40a01,8,1,1,10980,380,7479
897d40a01,8,1,2,8568,285,6192
897d40a01,8,1,3,8233,202,6026
897d40a01,8,1,4,7946,257,5619
897d40a01,8,1,5,9436,318,6036
897d40a01,8,1,6,8749,260,5900
897d40a01,8,1,7,8754,207,5580
897d40a01,8,1,8,9052,241,6130
897d40a01,8,1,9,9125,253,5934
897d40a01,8,1,10,8845,215,5818
897d40a01,8,1,11,8649,241,5802
897d40a01,8,1,12,9460,236,5993
897d40a01,8,1,13,8517,213,5634
897d40a01,8,1,14,11867,244,5694
897d40a01,8,1,15,8360,220,5705
897d40a01,8,1,16,10239,597,6194
897d40a01,8,1,17,8991,269,5780
897d40a01,8,1,18,9038,227,5831
897d40a01,8,1,19,8547,285,5590
897d40a01,9,0,0,7666,206,5674
897d40a01,9,0,1,8387,213,5967
897d40a01,9,0,2,9452,233,6410
897d40a01,9,0,3,11986,337,6952
897d40a01,9,0,4,16343,414,9165
897d40a01,9,0,5,10433,283,5998
897d40a01,9,0,6,9850,254,6456
897d40a01,9,0,7,9271,234,6145
897d40a01,9,0,8,12199,212,7953
897d40a01,9,0,9,8434,233,5572
897d40a01,9,0,10,8404,245,5275
897d40a01,9,0,11,9538,232,6323
897d40a01,9,0,12,10607,230,7209
897d40a01,9,0,13,10044,243,6072
897d40a01,9,0,14,11046,253,7557
897d40a01,9,0,15,10591,252,7311
897d40a01,9,0,16,8770,235,5613
897d40a01,9,0,17,8764,291,5465
897d40a01,9,0,18,8535,228,5530
897d40a01,9,0,19,9120,293,5227
a91e89cd8,9,1,0,8532,228,5963
a91e89cd8,9,1,1,8536,219,6189
a91e89cd8,9,1,2,8104,195,5573
a91e89cd8,9,1,3,8386,221,5663
a91e89cd8,9,1,4,8551,289,5951
a91e89cd8,9,1,5,8426,496,5941
a91e89cd8,9,1,6,8951,211,6173
a91e89cd8,9,1,7,10051,204,6928
a91e89cd8,9,1,8,10029,209,6631
a91e89cd8,9,1,9,8578,255,5774
a91e89cd8,9,1,10,10620,346,6676
a91e89cd8,9,1,11,7375,171,5491
a91e89cd8,9,1,12,7986,249,6012
a91e89cd8,9,1,13,8197,225,6050
a91e89cd8,9,1,14,9103,156,6131
a91e89cd8,9,1,15,8790,216,5738
a91e89cd8,9,1,16,8001,193,5570
a91e89cd8,9,1,17,10288,265,6828
a91e89cd8,9,1,18,8786,253,5770
a91e89cd8,9,1,19,7862,238,5570
a91e89cd8,10,0,0,8360,246,6384
a91e89cd8,10,0,1,8295,216,5935
a91e89cd8,10,0,2,8953,221,5941
a91e89cd8,10,0,3,8583,181,6105
a91e89cd8,10,0,4,9107,230,6315
a91e89cd8,10,0,5,8332,228,5703
a91e89cd8,10,0,6,8577,245,6053
a91e89cd8,10,0,7,9321,258,6327
a91e89cd8,10,0,8,10959,268,7619
a91e89cd8,10,0,9,10582,211,7524
a91e89cd8,10,0,10,11648,261,7162
a91e89cd8,10,0,11,11252,214,7758
a91e89cd8,10,0,12,9608,205,6463
a91e89cd8,10,0,13,7727,202,5235
a91e89cd8,10,0,14,8363,211,6013
a91e89cd8,10,0,15,7900,207,5803
a91e89cd8,10,0,16,8323,202,6106
a91e89cd8,10,0,17,8107,225,5633
a91e89cd8,10,0,18,7892,236,5924
a91e89cd8,10,0,19,8262,232,5765
897d40a01,10,1,0,9775,248,6093
897d40a01,10,1,1,8720,257,6024
897d40a01,10,1,2,11858,249,7657
897d40a01,10,1,3,9082,241,5578
897d40a01,10,1,4,8697,208,5566
897d40a01,10,1,5,8327,192,5480
897d40a01,10,1,6,27626,305,26210
897d40a01,10,1,7,9082,273,5737
897d40a01,10,1,8,10364,284,6363
897d40a01,10,1,9,8864,242,5800
897d40a01,10,1,10,11844,318,8296
897d40a01,10,1,11,8740,215,5943
897d40a01,10,1,12,9148,246,5968
897d40a01,10,1,13,9001,261,6214
897d40a01,10,1,14,8359,246,5799
897d40a01,10,1,15,9470,311,6100
897d40a01,10,1,16,8983,235,5713
897d40a01,10,1,17,9662,280,6478
897d40a01,10,1,18,9156,363,7972
897d40a01,10,1,19,9267,255,5865
897d40a01,11,0,0,8834,244,5809
897d40a01,11,0,1,9007,234,6061
897d40a01,11,0,2,9515,219,6015
897d40a01,11,0,3,12539,236,8352
897d40a01,11,0,4,11344,248,7673
897d40a01,11,0,5,12303,294,8007
897d40a01,11,0,6,12109,262,8095
897d40a01,11,0,7,11105,197,6824
897d40a01,11,0,8,10264,239,6467
897d40a01,11,0,9,9689,221,6398
897d40a01,11,0,10,11303,258,7278
897d40a01,11,0,11,9395,232,6177
897d40a01,11,0,12,8584,206,5840
897d40a01,11,0,13,33097,625,8434
897d40a01,11,0,14,9594,245,6000
897d40a01,11,0,15,9727,234,6232
897d40a01,11,0,16,9661,227,5851
897d40a01,11,0,17,10000,202,6410
897d40a01,11,0,18,10040,234,6238
897d40a01,11,0,19,10648,264,6991
a91e89cd8,11,1,0,10137,295,7668
a91e89cd8,11,1,1,11352,250,9218
a91e89cd8,11,1,2,9666,275,6834
a91e89cd8,11,1,3,9486,218,6408
a91e89cd8,11,1,4,9710,291,6545
a91e89cd8,11,1,5,9562,259,6519
a91e89cd8,11,1,6,11568,236,8199
a91e89cd8,11,1,7,10537,222,7021
a91e89cd8,11,1,8,8577,176,6223
a91e89cd8,11,1,9,15706,338,7759
a91e89cd8,11,1,10,8408,188,5629
a91e89cd8,11,1,11,7892,194,5949
a91e89cd8,11,1,12,8612,171,6564
a91e89cd8,11,1,13,8469,154,5625
a91e89cd8,11,1,14,11197,190,7338
a91e89cd8,11,1,15,10172,198,6941
a91e89cd8,11,1,16,9973,207,5951
a91e89cd8,11,1,17,10070,218,7189
a91e89cd8,11,1,18,9083,205,6378
a91e89cd8,11,1,19,12567,261,22874
a91e89cd8,12,0,0,11668,220,8006
a91e89cd8,12,0,1,9550,181,7125
a91e89cd8,12,0,2,9779,210,6432
a91e89cd8,12,0,3,8417,253,5922
a91e89cd8,12,0,4,9798,182,6432
a91e89cd8,12,0,5,13043,246,8492
a91e89cd8,12,0,6,17324,531,12779
a91e89cd8,12,0,7,19101,558,14871
a91e89cd8,12,0,8,18585,544,13739
a91e89cd8,12,0,9,17755,416,13395
a91e89cd8,12,0,10,19313,418,14816
a91e89cd8,12,0,11,17770,484,12568
a91e89cd8,12,0,12,17826,364,13236
a91e89cd8,12,0,13,13105,317,9570
a91e89cd8,12,0,14,13824,262,9273
a91e89cd8,12,0,15,18336,432,13436
a91e89cd8,12,0,16,20431,557,14941
a91e89cd8,12,0,17,21043,710,15323
a91e89cd8,12,0,18,18620,710,13747
a91e89cd8,12,0,19,19375,576,13371
897d40a01,12,1,0,15887,576,11026
897d40a01,12,1,1,13960,507,12607
897d40a01,12,1,2,15944,471,11101
897d40a01,12,1,3,10913,326,6840
897d40a01,12,1,4,9392,218,6308
897d40a01,12,1,5,12652,318,9295
897d40a01,12,1,6,17289,518,12655
897d40a01,12,1,7,14254,302,9446
897d40a01,12,1,8,13020,336,8650
897d40a01,12,1,9,15927,441,27350
897d40a01,12,1,10,11576,232,7001
897d40a01,12,1,11,9024,313,6453
897d40a01,12,1,12,8614,312,5723
897d40a01,12,1,13,8044,271,5875
897d40a01,12,1,14,8314,251,5606
897d40a01,12,1,15,8454,284,5724
897d40a01,12,1,16,9280,289,5949
897d40a01,12,1,17,8787,291,5724
897d40a01,12,1,18,7893,275,5484
897d40a01,12,1,19,8490,240,5479
897d40a01,13,0,0,8350,183,5769
897d40a01,13,0,1,7952,176,5346
897d40a01,13,0,2,8727,194,5636
897d40a01,13,0,3,8424,192,5735
897d40a01,13,0,4,9347,210,6160
897d40a01,13,0,5,8180,222,5760
897d40a01,13,0,6,8214,230,5997
897d40a01,13,0,7,7943,200,5890
897d40a01,13,0,8,10121,323,5548
897d40a01,13,0,9,7813,208,5735
897d40a01,13,0,10,8416,186,5357
897d40a01,13,0,11,8581,209,5687
897d40a01,13,0,12,11364,268,8044
897d40a01,13,0,13,10540,184,7549
897d40a01,13,0,14,11531,193,7601
897d40a01,13,0,15,13901,293,8530
897d40a01,13,0,16,14951,307,9311
897d40a01,13,0,17,14910,290,9572
897d40a01,13,0,18,15193,284,10188
897d40a01,13,0,19,13708,306,8371
a91e89cd8,13,1,0,15396,366,10631
a91e89cd8,13,1,1,13505,260,10347
a91e89cd8,13,1,2,14482,322,10574
a91e89cd8,13,1,3,15101,423,9629
a91e89cd8,13,1,4,15910,297,10088
a91e89cd8,13,1,5,14744,325,10427
a91e89cd8,13,1,6,14536,405,10197
a91e89cd8,13,1,7,15096,292,9541
a91e89cd8,13,1,8,15368,298,10606
a91e89cd8,13,1,9,13166,249,10183
a91e89cd8,13,1,10,12313,259,8813
a91e89cd8,13,1,11,11082,213,8702
a91e89cd8,13,1,12,11651,263,8128
a91e89cd8,13,1,13,11677,187,7563
a91e89cd8,13,1,14,10179,170,7139
a91e89cd8,13,1,15,15536,376,11431
a91e89cd8,13,1,16,16563,523,12460
a91e89cd8,13,1,17,10029,226,7020
a91e89cd8,13,1,18,10688,253,8142
a91e89cd8,13,1,19,12446,423,9936
a91e89cd8,14,0,0,14259,414,10238
a91e89cd8,14,0,1,11694,270,7987
a91e89cd8,14,0,2,9355,220,7201
a91e89cd8,14,0,3,15513,483,10953
a91e89cd8,14,0,4,9936,275,6837
a91e89cd8,14,0,5,9387,199,6563
a91e89cd8,14,0,6,9731,239,6457
a91e89cd8,14,0,7,14377,376,9998
a91e89cd8,14,0,8,13436,451,9454
a91e89cd8,14,0,9,10986,222,6701
a91e89cd8,14,0,10,11746,211,7241
a91e89cd8,14,0,11,8138,225,6071
a91e89cd8,14,0,12,7960,189,6028
a91e89cd8,14,0,13,8364,189,5658
a91e89cd8,14,0,14,7572,188,5632
a91e89cd8,14,0,15,9143,218,6550
a91e89cd8,14,0,16,8273,202,5451
a91e89cd8,14,0,17,9541,188,6607
a91e89cd8,14,0,18,10068,270,6843
a91e89cd8,14,0,19,9644,250,6118
897d40a01,14,1,0,9221,224,6251
897d40a01,14,1,1,9898,230,21659
897d40a01,14,1,2,9929,194,6444
897d40a01,14,1,3,8843,259,5996
897d40a01,14,1,4,7933,247,5672
897d40a01,14,1,5,8484,229,5384
897d40a01,14,1,6,7841,269,5627
897d40a01,14,1,7,8846,255,5934
897d40a01,14,1,8,7826,260,5476
897d40a01,14,1,9,8132,246,5576
897d40a01,14,1,10,8275,218,5699
897d40a01,14,1,11,8840,650,6020
897d40a01,14,1,12,9064,229,6225
897d40a01,14,1,13,9363,233,6296
897d40a01,14,1,14,8589,212,5696
897d40a01,14,1,15,8012,202,7814
897d40a01,14,1,16,11402,254,7011
897d40a01,14,1,17,8565,207,5833
897d40a01,14,1,18,8029,282,5878
897d40a01,14,1,19,8671,283,5431
897d40a01,15,0,0,8255,186,5586
897d40a01,15,0,1,8826,259,6028
897d40a01,15,0,2,8341,220,5678
897d40a01,15,0,3,8319,177,5949
897d40a01,15,0,4,8058,244,6133
897d40a01,15,0,5,8186,182,5437
897d40a01,15,0,6,8225,164,5951
897d40a01,15,0,7,8463,213,5746
897d40a01,15,0,8,8752,201,6047
897d40a01,15,0,9,11852,262,6663
897d40a01,15,0,10,8739,207,5954
897d40a01,15,0,11,7756,216,5929
897d40a01,15,0,12,8739,187,6560
897d40a01,15,0,13,9067,200,5897
897d40a01,15,0,14,8656,235,5856
897d40a01,15,0,15,10751,288,7430
897d40a01,15,0,16,9491,216,6603
897d40a01,15,0,17,9437,197,7280
897d40a01,15,0,18,10897,280,7181
897d40a01,15,0,19,11232,241,6847
a91e89cd8,15,1,0,8735,219,5895
a91e89cd8,15,1,1,8590,232,6013
a91e89cd8,15,1,2,8473,225,5707
a91e89cd8,15,1,3,8545,194,6782
a91e89cd8,15,1,4,8678,223,5816
a91e89cd8,15,1,5,8588,210,5571
a91e89cd8,15,1,6,8316,188,5569
a91e89cd8,15,1,7,8264,189,5522
a91e89cd8,15,1,8,9301,201,25300
a91e89cd8,15,1,9,8552,196,5698
a91e89cd8,15,1,10,8404,233,5516
a91e89cd8,15,1,11,8118,194,5697
a91e89cd8,15,1,12,8528,207,6206
a91e89cd8,15,1,13,9331,203,5949
a91e89cd8,15,1,14,9051,223,5909
a91e89cd8,15,1,15,8509,169,6142
a91e89cd8,15,1,16,8357,196,5543
a91e89cd8,15,1,17,8258,206,5813
a91e89cd8,15,1,18,8405,204,6433
a91e89cd8,15,1,19,8853,218,5813
a91e89cd8,16,0,0,9664,241,6773
a91e89cd8,16,0,1,9907,220,6436
a91e89cd8,16,0,2,13830,274,9601
a91e89cd8,16,0,3,24719,437,17926
a91e89cd8,16,0,4,22843,593,14706
a91e89cd8,16,0,5,21162,612,14548
a91e89cd8,16,0,6,37165,586,14368
a91e89cd8,16,0,7,20704,721,15134
a91e89cd8,16,0,8,22564,629,16316
a91e89cd8,16,0,9,18828,532,14525
a91e89cd8,16,0,10,23456,647,14933
a91e89cd8,16,0,11,22343,567,15381
a91e89cd8,16,0,12,19262,619,14134
a91e89cd8,16,0,13,24931,686,16962
a91e89cd8,16,0,14,25263,770,17434
