sequence,input0_bits,input1_bits,input2_bits,input3_bits,output_bits,actuator_permille,wall_ns
947,3d95a07b,3f100000,bbe56042,3f30e560,3f310be9,692,143500
948,3d95df65,3f100000,bbc49ba6,3f3126e9,3f3110e3,692,143208
949,3d9628cc,3f100000,bbe56042,3f3126e9,3f31289c,692,143792
950,3d967232,3f100000,bbe56042,3f3126e9,3f31348a,692,143500
951,3d96b11c,3f100000,bbc49ba6,3f3126e9,3f3132f7,692,143500
952,3d958b82,3f100000,3ce56042,3f3126e9,3f2f722d,685,143792
953,3d947065,3f100000,3cdd2f1b,3f2f5c29,3f2f2218,684,143791
954,3d935fc4,3f100000,3cd4fdf4,3f2f1aa0,3f2efb09,684,144083
955,3d924f22,3f100000,3cd4fdf4,3f2f1aa0,3f2ecebc,683,143500
956,3d9148fe,3f100000,3ccccccd,3f2ed917,3f2ea961,682,144083
957,3d9042d9,3f100000,3ccccccd,3f2e978d,3f2e783a,682,144083
958,3d8f3cb4,3f100000,3ccccccd,3f2e978d,3f2e4da0,681,143792
959,3d8e368f,3f100000,3ccccccd,3f2e5604,3f2e1c79,680,143500
960,3d8d3ae7,3f100000,3cc49ba6,3f2e147b,3f2df8d2,680,143792
961,3d8c3f3e,3f100000,3cc49ba6,3f2e147b,3f2dcfed,679,143792
962,3d8b4396,3f100000,3cc49ba6,3f2dd2f2,3f2da07a,678,144084
963,3d8a47ed,3f100000,3cc49ba6,3f2d9168,3f2d7107,678,143209
964,3d8956c1,3f100000,3cbc6a7f,3f2d9168,3f2d55a3,677,144375
965,3d886595,3f100000,3cbc6a7f,3f2d4fdf,3f2d27e5,676,144083
966,3d877469,3f100000,3cbc6a7f,3f2d0e56,3f2cfa26,676,143792
967,3d868db9,3f100000,3cb43958,3f2d0e56,3f2ce075,675,144083
968,3d85a709,3f100000,3cb43958,3f2ccccd,3f2cb46b,675,143500
969,3d84c059,3f100000,3cb43958,3f2ccccd,3f2c8eee,674,143792
970,3d83d9a9,3f100000,3cb43958,3f2c8b44,3f2c62e4,673,143792
971,3d82fd76,3f100000,3cac0831,3f2c49ba,3f2c445a,673,144083
972,3d8216c6,3f100000,3cb43958,3f2c49ba,3f2c1312,672,144666
973,3d81450f,3f100000,3ca3d70a,3f2c0831,3f2c0207,672,143208
974,3d8068dc,3f100000,3cac0831,3f2c0831,3f2bd273,671,143792
975,3d7f1950,3f100000,3cac0831,3f2bc6a8,3f2ba81d,671,143500
976,3d7d75e2,3f100000,3ca3d70a,3f2bc6a8,3f2b91d5,670,175292
977,3d7bd274,3f100000,3ca3d70a,3f2b851f,3f2b6934,670,178500
978,3d7a2f06,3f100000,3ca3d70a,3f2b851f,3f2b471f,669,168584
979,3d78a090,3f100000,3c9ba5e3,3f2b4396,3f2b2bfd,669,144083
980,3d76fd22,3f100000,3ca3d70a,3f2b4396,3f2afe1d,668,143500
981,3d756ead,3f100000,3c9ba5e3,3f2b020c,3f2ae2fb,668,144083
982,3d73e037,3f100000,3c9ba5e3,3f2b020c,3f2ac29b,667,142917
983,3d7251c2,3f100000,3c9ba5e3,3f2ac083,3f2a9bae,666,143500
984,3d70d845,3f100000,3c9374bc,3f2a7efa,3f2a8241,666,143500
985,3d6f5ec8,3f100000,3c9374bc,3f2a7efa,3f2a6395,666,143208
986,3d6de54b,3f100000,3c9374bc,3f2a7efa,3f2a44e9,665,143792
987,3d6c6bcf,3f100000,3c9374bc,3f2a3d71,3f2a1faf,665,142625
988,3d6af252,3f100000,3c9374bc,3f2a3d71,3f2a0104,664,144083
989,3d698dce,3f100000,3c8b4396,3f29fbe7,3f29e94a,664,143791
990,3d681451,3f100000,3c9374bc,3f29fbe7,3f29bed3,663,143791
991,3d66afcd,3f100000,3c8b4396,3f29ba5e,3f29a719,663,144084
992,3d656042,3f100000,3c83126f,3f29ba5e,3f2997a2,662,143208
993,3d63fbbd,3f100000,3c8b4396,3f2978d5,3f296851,662,144083
994,3d629739,3f100000,3c8b4396,3f2978d5,3f294b5a,661,143208
995,3d6147ae,3f100000,3c83126f,3f29374c,3f293554,661,143209
996,3d5ff823,3f100000,3c83126f,3f29374c,3f291a11,661,144666
997,3d5ea897,3f100000,3c83126f,3f29374c,3f28fece,660,144084
998,3d5d6e05,3f100000,3c75c28f,3f28f5c3,3f28ea7c,660,144666
999,3d5c1e79,3f100000,3c83126f,3f28f5c3,3f28c36d,659,143791
1000,3d5ae3e7,3f100000,3c75c28f,3f28b439,3f28af1d,659,144084
1001,3d59945b,3f100000,3c83126f,3f28b439,3f28880e,658,144666
1002,3d586ec1,3f100000,3c656042,3f2872b0,3f28813c,658,144666
1003,3d57342f,3f100000,3c75c28f,3f2872b0,3f285be2,658,143500
1004,3d55f99c,3f100000,3c75c28f,3f2872b0,3f284253,657,144083
1005,3d54d402,3f100000,3c656042,3f283127,3f282fb5,657,144083
1006,3d539970,3f100000,3c75c28f,3f283127,3f280a5b,656,144959
1007,3d5273d6,3f100000,3c656042,3f27ef9e,3f27f7bd,656,144084
