workload,variant,commit,batch,run,write_ns,read_ns,sync_ns,dirty_sync_ns,clean_sync_ns,unmount_ns
sync-cycle,implementation,b80dd453f,1,4,,,,7846,206,5382
sync-cycle,implementation,b80dd453f,1,5,,,,8066,227,5811
sync-cycle,implementation,b80dd453f,1,6,,,,8785,251,5770
sync-cycle,implementation,b80dd453f,1,7,,,,9142,244,5366
sync-cycle,implementation,b80dd453f,1,8,,,,8016,209,5660
sync-cycle,implementation,b80dd453f,1,9,,,,8220,252,5296
sync-cycle,implementation,b80dd453f,1,10,,,,7741,234,5117
sync-cycle,implementation,b80dd453f,1,11,,,,8083,267,5303
sync-cycle,implementation,b80dd453f,1,12,,,,7567,211,5372
sync-cycle,implementation,b80dd453f,1,13,,,,8514,217,5433
sync-cycle,implementation,b80dd453f,1,14,,,,7941,218,5219
sync-cycle,implementation,b80dd453f,1,15,,,,8074,262,5434
sync-cycle,implementation,b80dd453f,1,16,,,,8465,226,5382
sync-cycle,implementation,b80dd453f,1,17,,,,8152,215,5483
sync-cycle,implementation,b80dd453f,1,18,,,,8347,213,5593
sync-cycle,implementation,b80dd453f,1,19,,,,8309,212,5825
sync-cycle,baseline,3acc11385,1,0,,,,8338,207,5533
sync-cycle,baseline,3acc11385,1,1,,,,8432,213,5491
sync-cycle,baseline,3acc11385,1,2,,,,8197,235,5389
sync-cycle,baseline,3acc11385,1,3,,,,8389,219,5364
sync-cycle,baseline,3acc11385,1,4,,,,8107,277,5385
sync-cycle,baseline,3acc11385,1,5,,,,7943,209,5579
sync-cycle,baseline,3acc11385,1,6,,,,7984,237,5397
sync-cycle,baseline,3acc11385,1,7,,,,8394,214,5337
sync-cycle,baseline,3acc11385,1,8,,,,8107,211,5394
sync-cycle,baseline,3acc11385,1,9,,,,8102,230,5286
sync-cycle,baseline,3acc11385,1,10,,,,8293,224,5256
sync-cycle,baseline,3acc11385,1,11,,,,7918,210,5373
sync-cycle,baseline,3acc11385,1,12,,,,8312,235,5644
sync-cycle,baseline,3acc11385,1,13,,,,7990,199,5354
sync-cycle,baseline,3acc11385,1,14,,,,7979,251,5222
sync-cycle,baseline,3acc11385,1,15,,,,8072,268,5370
sync-cycle,baseline,3acc11385,1,16,,,,8363,229,5128
sync-cycle,baseline,3acc11385,1,17,,,,7924,270,5631
sync-cycle,baseline,3acc11385,1,18,,,,7894,211,5260
sync-cycle,baseline,3acc11385,1,19,,,,7679,212,5145
sequential,baseline,3acc11385,2,0,6297762,6390566,20973,,,
sequential,baseline,3acc11385,2,1,6519519,6120547,17372,,,
sequential,baseline,3acc11385,2,2,6532292,6072035,17189,,,
sequential,baseline,3acc11385,2,3,6536018,6093229,18208,,,
sequential,baseline,3acc11385,2,4,6512928,6618351,17861,,,
sequential,baseline,3acc11385,2,5,6375558,6155167,18381,,,
sequential,baseline,3acc11385,2,6,6391809,6152503,18221,,,
sequential,baseline,3acc11385,2,7,6419158,6146792,18281,,,
sequential,baseline,3acc11385,2,8,6418691,6140729,18179,,,
sequential,baseline,3acc11385,2,9,7048210,7482836,18414,,,
sequential,baseline,3acc11385,2,10,7164373,7570932,23673,,,
sequential,baseline,3acc11385,2,11,7522251,6992643,19674,,,
sequential,baseline,3acc11385,2,12,7077965,6472332,18260,,,
sequential,baseline,3acc11385,2,13,6451165,6531069,17271,,,
sequential,baseline,3acc11385,2,14,6301270,6176937,17270,,,
sequential,baseline,3acc11385,2,15,6495784,6101966,18356,,,
sequential,baseline,3acc11385,2,16,6308367,6208391,18277,,,
sequential,baseline,3acc11385,2,17,6357865,6134823,17733,,,
sequential,baseline,3acc11385,2,18,6311132,6085348,17467,,,
sequential,baseline,3acc11385,2,19,6316173,6272817,17148,,,
sequential,implementation,b80dd453f,2,0,6310421,6193071,17894,,,
sequential,implementation,b80dd453f,2,1,6494624,6203641,18066,,,
sequential,implementation,b80dd453f,2,2,6308126,6019161,18192,,,
sequential,implementation,b80dd453f,2,3,6296787,6417346,17831,,,
sequential,implementation,b80dd453f,2,4,6319093,6476059,17883,,,
sequential,implementation,b80dd453f,2,5,6292803,6037652,18937,,,
sequential,implementation,b80dd453f,2,6,6434893,6030461,17350,,,
sequential,implementation,b80dd453f,2,7,6286070,5997325,17111,,,
sequential,implementation,b80dd453f,2,8,6318080,6044792,17347,,,
sequential,implementation,b80dd453f,2,9,6363872,6091400,18414,,,
sequential,implementation,b80dd453f,2,10,6325548,6009138,18737,,,
sequential,implementation,b80dd453f,2,11,6299471,6032140,18066,,,
sequential,implementation,b80dd453f,2,12,6320327,6017928,18397,,,
sequential,implementation,b80dd453f,2,13,6304108,6023500,15851,,,
sequential,implementation,b80dd453f,2,14,6703799,6804165,18491,,,
sequential,implementation,b80dd453f,2,15,6793075,7730750,18682,,,
sequential,implementation,b80dd453f,2,16,6823467,7826525,19781,,,
sequential,implementation,b80dd453f,2,17,6991874,7035831,18607,,,
sequential,implementation,b80dd453f,2,18,6471466,6384413,16719,,,
sequential,implementation,b80dd453f,2,19,6339401,6042867,16872,,,
sync-cycle,baseline,3acc11385,2,0,,,,8261,194,5629
sync-cycle,baseline,3acc11385,2,1,,,,7536,187,5507
sync-cycle,baseline,3acc11385,2,2,,,,8111,185,5328
sync-cycle,baseline,3acc11385,2,3,,,,7457,217,5357
