workload,variant,commit,batch,run,write_ns,read_ns,sync_ns,dirty_sync_ns,clean_sync_ns,unmount_ns
sequential,baseline,e5f6e295a,6,18,6820512,7029107,19211,,,
sequential,baseline,e5f6e295a,6,19,7137497,7464690,19335,,,
sequential,baseline,e5f6e295a,7,0,6494461,7414016,18546,,,
sequential,baseline,e5f6e295a,7,1,6300165,6870677,18655,,,
sequential,baseline,e5f6e295a,7,2,6386191,6661591,18410,,,
sequential,baseline,e5f6e295a,7,3,6481233,7115118,21861,,,
sequential,baseline,e5f6e295a,7,4,7186689,7028355,18507,,,
sequential,baseline,e5f6e295a,7,5,6851276,8109444,18701,,,
sequential,baseline,e5f6e295a,7,6,6946482,8106145,18038,,,
sequential,baseline,e5f6e295a,7,7,6761290,6511661,19087,,,
sequential,baseline,e5f6e295a,7,8,6465558,6231028,17744,,,
sequential,baseline,e5f6e295a,7,9,7064755,6429309,18905,,,
sequential,baseline,e5f6e295a,7,10,6525245,6750521,18631,,,
sequential,baseline,e5f6e295a,7,11,6383117,6264391,18268,,,
sequential,baseline,e5f6e295a,7,12,6581111,7920654,19656,,,
sequential,baseline,e5f6e295a,7,13,6640137,7406538,18012,,,
sequential,baseline,e5f6e295a,7,14,6417568,6312204,17336,,,
sequential,baseline,e5f6e295a,7,15,7276204,7271553,19491,,,
sequential,baseline,e5f6e295a,7,16,6302495,6309604,17969,,,
sequential,baseline,e5f6e295a,7,17,6373413,7852911,19085,,,
sequential,baseline,e5f6e295a,7,18,7382206,7964852,20010,,,
sequential,baseline,e5f6e295a,7,19,7051660,7463615,19423,,,
sequential,baseline,e5f6e295a,8,0,7360619,6656683,17666,,,
sequential,baseline,e5f6e295a,8,1,6345519,6271325,17091,,,
sequential,baseline,e5f6e295a,8,2,6287851,6216270,17402,,,
sequential,baseline,e5f6e295a,8,3,6295160,6324707,17662,,,
sequential,baseline,e5f6e295a,8,4,6796283,6656752,17675,,,
sequential,baseline,e5f6e295a,8,5,6306393,6822001,19546,,,
sequential,baseline,e5f6e295a,8,6,7108156,7623542,20178,,,
sequential,baseline,e5f6e295a,8,7,6671247,7840557,18726,,,
sequential,baseline,e5f6e295a,8,8,7573899,7377534,21846,,,
sequential,baseline,e5f6e295a,8,9,7067705,7601458,18889,,,
sequential,baseline,e5f6e295a,8,10,6727244,6895931,19281,,,
sequential,baseline,e5f6e295a,8,11,6818612,6547743,17075,,,
sequential,baseline,e5f6e295a,8,12,6332645,6245953,17271,,,
sequential,baseline,e5f6e295a,8,13,6567935,6501068,17049,,,
sequential,baseline,e5f6e295a,8,14,6584669,6531915,17541,,,
sequential,baseline,e5f6e295a,8,15,6312440,6278063,17392,,,
sequential,baseline,e5f6e295a,8,16,6379226,6329820,18484,,,
sequential,baseline,e5f6e295a,8,17,6542951,7403522,17956,,,
