workload,variant,commit,run,write_ns,read_ns,sync_ns,dirty_sync_ns,clean_sync_ns,unmount_ns
sync-cycle,baseline,4d1f03698,45,,,,11332,341,7052
sync-cycle,baseline,4d1f03698,46,,,,7674,207,5150
sync-cycle,baseline,4d1f03698,47,,,,9672,262,6958
sync-cycle,baseline,4d1f03698,48,,,,12333,311,7992
sync-cycle,baseline,4d1f03698,49,,,,12326,300,7318
sync-cycle,implementation,e05159fa1,0,,,,8256,265,5026
sync-cycle,implementation,e05159fa1,1,,,,9120,300,5232
sync-cycle,implementation,e05159fa1,2,,,,8192,274,5738
sync-cycle,implementation,e05159fa1,3,,,,7813,278,4847
sync-cycle,implementation,e05159fa1,4,,,,7684,270,4891
sync-cycle,implementation,e05159fa1,5,,,,7863,270,5007
sync-cycle,implementation,e05159fa1,6,,,,7638,232,5210
sync-cycle,implementation,e05159fa1,7,,,,8041,215,5107
sync-cycle,implementation,e05159fa1,8,,,,8364,230,5390
sync-cycle,implementation,e05159fa1,9,,,,7480,214,4861
sync-cycle,implementation,e05159fa1,10,,,,7883,298,5295
sync-cycle,implementation,e05159fa1,11,,,,7491,217,5120
sync-cycle,implementation,e05159fa1,12,,,,8111,241,5456
sync-cycle,implementation,e05159fa1,13,,,,7635,200,4793
sync-cycle,implementation,e05159fa1,14,,,,24591,268,5116
sync-cycle,implementation,e05159fa1,15,,,,7684,202,4749
sync-cycle,implementation,e05159fa1,16,,,,8193,193,4847
sync-cycle,implementation,e05159fa1,17,,,,7990,234,5237
sync-cycle,implementation,e05159fa1,18,,,,7885,251,5049
sync-cycle,implementation,e05159fa1,19,,,,7799,200,5120
sync-cycle,implementation,e05159fa1,20,,,,7935,244,5242
sync-cycle,implementation,e05159fa1,21,,,,7994,209,4910
sync-cycle,implementation,e05159fa1,22,,,,7997,240,5069
sync-cycle,implementation,e05159fa1,23,,,,8001,220,5389
sync-cycle,implementation,e05159fa1,24,,,,7602,228,4781
sync-cycle,implementation,e05159fa1,25,,,,7918,228,5179
sync-cycle,implementation,e05159fa1,26,,,,7713,200,5029
sync-cycle,implementation,e05159fa1,27,,,,7961,246,5077
sync-cycle,implementation,e05159fa1,28,,,,7983,205,5191
sync-cycle,implementation,e05159fa1,29,,,,7688,211,5123
sync-cycle,implementation,e05159fa1,30,,,,7977,244,5520
sync-cycle,implementation,e05159fa1,31,,,,7538,234,4828
sync-cycle,implementation,e05159fa1,32,,,,7943,205,4993
sync-cycle,implementation,e05159fa1,33,,,,8701,272,5989
sync-cycle,implementation,e05159fa1,34,,,,9953,258,6321
sync-cycle,implementation,e05159fa1,35,,,,9887,270,5680
sync-cycle,implementation,e05159fa1,36,,,,9023,250,5653
sync-cycle,implementation,e05159fa1,37,,,,8731,228,5636
sync-cycle,implementation,e05159fa1,38,,,,8595,271,5426
sync-cycle,implementation,e05159fa1,39,,,,8015,212,5289
sync-cycle,implementation,e05159fa1,40,,,,7988,219,5075
sync-cycle,implementation,e05159fa1,41,,,,8819,283,5165
sync-cycle,implementation,e05159fa1,42,,,,7851,265,5200
sync-cycle,implementation,e05159fa1,43,,,,7780,230,5243
sync-cycle,implementation,e05159fa1,44,,,,7989,273,5295
sync-cycle,implementation,e05159fa1,45,,,,7590,242,4919
sync-cycle,implementation,e05159fa1,46,,,,7568,230,4896
sync-cycle,implementation,e05159fa1,47,,,,7828,228,5206
sync-cycle,implementation,e05159fa1,48,,,,7418,198,4989
sync-cycle,implementation,e05159fa1,49,,,,8055,201,5390
