commit,batch,position,run,dirty_sync_ns,clean_sync_ns,unmount_ns
a91e89cd8,6,0,0,12232,307,8215
a91e89cd8,6,0,1,13815,313,9169
a91e89cd8,6,0,2,13962,290,9616
a91e89cd8,6,0,3,13608,264,8991
a91e89cd8,6,0,4,11724,232,7827
a91e89cd8,6,0,5,17845,357,12699
a91e89cd8,6,0,6,10732,197,7174
a91e89cd8,6,0,7,11136,241,8255
a91e89cd8,6,0,8,8435,200,6049
a91e89cd8,6,0,9,10998,183,6397
a91e89cd8,6,0,10,8575,177,6068
a91e89cd8,6,0,11,8218,196,5880
a91e89cd8,6,0,12,9831,193,6581
a91e89cd8,6,0,13,11584,187,7761
a91e89cd8,6,0,14,10035,218,6098
a91e89cd8,6,0,15,12017,182,9250
a91e89cd8,6,0,16,12256,196,7729
a91e89cd8,6,0,17,11609,230,7661
a91e89cd8,6,0,18,10858,153,6748
a91e89cd8,6,0,19,11671,262,7654
aaf882ecf,6,1,0,8233,129,5872
aaf882ecf,6,1,1,8013,232,5542
aaf882ecf,6,1,2,9639,187,6531
aaf882ecf,6,1,3,9029,215,5952
aaf882ecf,6,1,4,8159,241,5613
aaf882ecf,6,1,5,8603,203,5431
aaf882ecf,6,1,6,9280,147,6021
aaf882ecf,6,1,7,8785,205,6027
aaf882ecf,6,1,8,9110,235,6003
aaf882ecf,6,1,9,8121,166,5884
aaf882ecf,6,1,10,11236,308,8179
aaf882ecf,6,1,11,12364,250,8495
aaf882ecf,6,1,12,11628,260,9035
aaf882ecf,6,1,13,12609,251,8718
aaf882ecf,6,1,14,11764,210,8161
aaf882ecf,6,1,15,12112,219,8520
aaf882ecf,6,1,16,10700,205,7424
aaf882ecf,6,1,17,9983,164,7197
aaf882ecf,6,1,18,10768,161,7465
aaf882ecf,6,1,19,28769,195,7850
aaf882ecf,7,0,0,9486,182,5865
aaf882ecf,7,0,1,12993,346,8537
aaf882ecf,7,0,2,11769,326,8125
aaf882ecf,7,0,3,11473,233,7045
aaf882ecf,7,0,4,9009,203,6363
aaf882ecf,7,0,5,11247,199,7638
aaf882ecf,7,0,6,10967,216,7571
aaf882ecf,7,0,7,11584,198,8148
aaf882ecf,7,0,8,9539,211,6890
aaf882ecf,7,0,9,9818,160,6460
aaf882ecf,7,0,10,9028,184,6693
aaf882ecf,7,0,11,12041,209,7838
aaf882ecf,7,0,12,11587,452,7957
aaf882ecf,7,0,13,12407,243,7786
aaf882ecf,7,0,14,10174,225,6870
aaf882ecf,7,0,15,9798,197,6798
aaf882ecf,7,0,16,11934,230,7315
aaf882ecf,7,0,17,8818,168,6233
aaf882ecf,7,0,18,8615,209,5844
aaf882ecf,7,0,19,8868,199,5886
a91e89cd8,7,1,0,9469,194,6705
a91e89cd8,7,1,1,10209,201,7467
a91e89cd8,7,1,2,10058,205,6847
a91e89cd8,7,1,3,10189,214,7158
a91e89cd8,7,1,4,8925,224,6238
a91e89cd8,7,1,5,11360,262,6940
a91e89cd8,7,1,6,9043,189,6442
a91e89cd8,7,1,7,10844,202,7399
a91e89cd8,7,1,8,11686,280,8420
a91e89cd8,7,1,9,11590,212,7437
a91e89cd8,7,1,10,9752,195,6730
a91e89cd8,7,1,11,8988,213,6668
a91e89cd8,7,1,12,9856,215,6977
a91e89cd8,7,1,13,9528,221,6314
a91e89cd8,7,1,14,9020,191,6516
a91e89cd8,7,1,15,8070,203,6057
a91e89cd8,7,1,16,9167,197,6284
a91e89cd8,7,1,17,9920,204,6675
a91e89cd8,7,1,18,9240,211,6882
a91e89cd8,7,1,19,10046,235,7246
a91e89cd8,8,0,0,8863,191,6134
a91e89cd8,8,0,1,8272,198,5800
a91e89cd8,8,0,2,10171,231,6582
a91e89cd8,8,0,3,9691,209,6394
a91e89cd8,8,0,4,7829,190,5626
a91e89cd8,8,0,5,9061,193,5811
a91e89cd8,8,0,6,11678,337,7187
a91e89cd8,8,0,7,8183,200,5507
a91e89cd8,8,0,8,11899,190,8231
a91e89cd8,8,0,9,8259,186,5820
a91e89cd8,8,0,10,10194,190,6373
a91e89cd8,8,0,11,12331,265,7917
a91e89cd8,8,0,12,9562,179,6828
a91e89cd8,8,0,13,11554,188,6812
a91e89cd8,8,0,14,9638,227,6336
a91e89cd8,8,0,15,9597,182,6781
a91e89cd8,8,0,16,9354,238,5812
a91e89cd8,8,0,17,9461,201,6718
a91e89cd8,8,0,18,8649,216,6404
a91e89cd8,8,0,19,8923,225,6432
aaf882ecf,8,1,0,11356,399,7863
aaf882ecf,8,1,1,11393,264,7419
aaf882ecf,8,1,2,14243,271,8711
aaf882ecf,8,1,3,12277,260,8009
aaf882ecf,8,1,4,29076,348,8248
aaf882ecf,8,1,5,13387,264,26007
aaf882ecf,8,1,6,13778,212,8691
aaf882ecf,8,1,7,14204,237,8583
aaf882ecf,8,1,8,13383,301,9242
aaf882ecf,8,1,9,35744,254,8627
aaf882ecf,8,1,10,14095,251,8428
aaf882ecf,8,1,11,12522,206,8410
aaf882ecf,8,1,12,12315,248,8502
aaf882ecf,8,1,13,12764,194,8009
aaf882ecf,8,1,14,16905,455,12020
aaf882ecf,8,1,15,13297,290,9534
aaf882ecf,8,1,16,13508,256,9324
aaf882ecf,8,1,17,13410,268,8874
aaf882ecf,8,1,18,13054,235,8810
aaf882ecf,8,1,19,13899,206,8369
aaf882ecf,9,0,0,16834,480,12635
aaf882ecf,9,0,1,12525,305,7966
aaf882ecf,9,0,2,13848,171,7875
