sequence,cycle_started_us,command_sent_us,response_completed_us,full_loop_us,pre_send_us,transport_us,setpoint_milli_c,observed_milli_c,measured_milli_c,command_actuator_permille,status_actuator_permille,error_milli_c
1728,172834963,172836682,172840011,5048,1719,3329,50000,49389,49387,415,415,613
1729,172935011,172936732,172940009,4998,1721,3277,50000,49387,49386,415,415,614
1730,173035060,173036785,173039998,4938,1725,3213,50000,49386,49385,415,415,615
1731,173135108,173136836,173139999,4891,1728,3163,50000,49385,49383,415,415,617
1732,173235158,173236880,173239989,4831,1722,3109,50000,49383,49382,415,415,618
1733,173335206,173336929,173340005,4799,1723,3076,50000,49382,49381,415,415,619
1734,173435255,173436978,173440005,4750,1723,3027,50000,49381,49379,415,415,621
1735,173535304,173537025,173540013,4709,1721,2988,50000,49379,49378,416,416,622
1736,173635353,173637077,173640000,4647,1724,2923,50000,49378,49377,416,416,623
1737,173735403,173737123,173739995,4592,1720,2872,50000,49377,49376,416,416,624
1738,173835453,173837177,173840137,4684,1724,2960,50000,49376,49375,416,416,625
1739,173935503,173937224,173940218,4715,1721,2994,50000,49375,49374,416,416,626
1740,174035554,174037280,174040297,4743,1726,3017,50000,49374,49373,416,416,627
1741,174135603,174137326,174140348,4745,1723,3022,50000,49373,49372,416,416,628
1742,174235674,174237397,174240416,4742,1723,3019,50000,49372,49371,416,416,629
1743,174335725,174337441,174340479,4754,1716,3038,50000,49371,49370,416,416,630
1744,174435775,174437496,174440556,4781,1721,3060,50000,49370,49369,416,416,631
1745,174535828,174537549,174540624,4796,1721,3075,50000,49369,49368,416,416,632
1746,174635898,174637619,174640691,4793,1721,3072,50000,49368,49367,416,416,633
1747,174735950,174737671,174740805,4855,1721,3134,50000,49367,49366,416,416,634
1748,174836019,174837743,174840850,4831,1724,3107,50000,49366,49365,416,416,635
1749,174936088,174937807,174940933,4845,1719,3126,50000,49365,49364,416,416,636
1750,175036138,175037860,175040963,4825,1722,3103,50000,49364,49363,416,416,637
1751,175136208,175137935,175140972,4764,1727,3037,50000,49363,49362,416,416,638
1752,175236257,175237980,175240971,4714,1723,2991,50000,49362,49361,416,416,639
1753,175336307,175338031,175340965,4658,1724,2934,50000,49361,49360,416,416,640
1754,175436357,175438080,175440981,4624,1723,2901,50000,49360,49359,416,416,641
1755,175536424,175538142,175540988,4564,1718,2846,50000,49359,49358,416,416,642
