sequence,cycle_started_us,command_sent_us,response_completed_us,full_loop_us,pre_send_us,transport_us,setpoint_milli_c,observed_milli_c,measured_milli_c,command_actuator_permille,status_actuator_permille,error_milli_c
432,43153394,43153410,43162310,8916,16,8900,45000,48779,48804,500,500,-3804
433,43253440,43253456,43262299,8859,16,8843,45000,48804,48829,500,500,-3829
434,43353486,43353503,43362294,8808,17,8791,45000,48829,48854,500,500,-3854
435,43453533,43453550,43462291,8758,17,8741,45000,48854,48878,500,500,-3878
436,43553580,43553595,43562309,8729,15,8714,45000,48878,48903,500,500,-3903
437,43653628,43653644,43662305,8677,16,8661,45000,48903,48927,500,500,-3927
438,43753674,43753690,43762309,8635,16,8619,45000,48927,48951,500,500,-3951
439,43853720,43853736,43862299,8579,16,8563,45000,48951,48976,500,500,-3976
440,43953767,43953783,43962306,8539,16,8523,45000,48976,49000,500,500,-4000
441,44053815,44053831,44062312,8497,16,8481,45000,49000,49024,500,500,-4024
442,44153861,44153877,44162303,8442,16,8426,45000,49024,49048,500,500,-4048
443,44253907,44253923,44262299,8392,16,8376,45000,49048,49071,500,500,-4071
444,44353953,44353970,44362299,8346,17,8329,45000,49071,49095,500,500,-4095
445,44454000,44454016,44462304,8304,16,8288,45000,49095,49119,500,500,-4119
446,44554047,44554063,44562293,8246,16,8230,45000,49119,49142,500,500,-4142
447,44654093,44654109,44662317,8224,16,8208,45000,49142,49166,500,500,-4166
448,44754140,44754156,44762305,8165,16,8149,45000,49166,49189,500,500,-4189
449,44854186,44854202,44862296,8110,16,8094,45000,49189,49212,500,500,-4212
450,44954232,44954248,44962308,8076,16,8060,45000,49212,49235,500,500,-4235
451,45054280,45054296,45062296,8016,16,8000,45000,49235,49258,500,500,-4258
452,45154325,45154341,45162289,7964,16,7948,45000,49258,49281,500,500,-4281
453,45254371,45254387,45262300,7929,16,7913,45000,49281,49304,500,500,-4304
454,45354419,45354435,45362306,7887,16,7871,45000,49304,49327,500,500,-4327
455,45454467,45454483,45462292,7825,16,7809,45000,49327,49350,500,500,-4350
456,45554513,45554529,45562282,7769,16,7753,45000,49350,49372,500,500,-4372
457,45654559,45654575,45662300,7741,16,7725,45000,49372,49395,500,500,-4395
458,45754606,45754623,45762306,7700,17,7683,45000,49395,49417,500,500,-4417
