policy,step,elapsed_ms,setpoint_milli_c,measured_milli_c,actuator_permille,error_milli_c
manual-fixed,312,31300,45000,45017,500,-17
manual-fixed,313,31400,45000,45057,500,-57
manual-fixed,314,31500,45000,45097,500,-97
manual-fixed,315,31600,45000,45137,500,-137
manual-fixed,316,31700,45000,45176,500,-176
manual-fixed,317,31800,45000,45216,500,-216
manual-fixed,318,31900,45000,45255,500,-255
manual-fixed,319,32000,45000,45294,500,-294
manual-fixed,320,32100,45000,45332,500,-332
manual-fixed,321,32200,45000,45371,500,-371
manual-fixed,322,32300,45000,45410,500,-410
manual-fixed,323,32400,45000,45448,500,-448
manual-fixed,324,32500,45000,45486,500,-486
manual-fixed,325,32600,45000,45524,500,-524
manual-fixed,326,32700,45000,45562,500,-562
manual-fixed,327,32800,45000,45600,500,-600
manual-fixed,328,32900,45000,45638,500,-638
manual-fixed,329,33000,45000,45675,500,-675
manual-fixed,330,33100,45000,45712,500,-712
manual-fixed,331,33200,45000,45749,500,-749
manual-fixed,332,33300,45000,45786,500,-786
manual-fixed,333,33400,45000,45823,500,-823
manual-fixed,334,33500,45000,45860,500,-860
manual-fixed,335,33600,45000,45897,500,-897
manual-fixed,336,33700,45000,45933,500,-933
manual-fixed,337,33800,45000,45969,500,-969
manual-fixed,338,33900,45000,46005,500,-1005
manual-fixed,339,34000,45000,46041,500,-1041
manual-fixed,340,34100,45000,46077,500,-1077
manual-fixed,341,34200,45000,46113,500,-1113
manual-fixed,342,34300,45000,46148,500,-1148
manual-fixed,343,34400,45000,46184,500,-1184
manual-fixed,344,34500,45000,46219,500,-1219
manual-fixed,345,34600,45000,46254,500,-1254
manual-fixed,346,34700,45000,46289,500,-1289
manual-fixed,347,34800,45000,46324,500,-1324
manual-fixed,348,34900,45000,46359,500,-1359
manual-fixed,349,35000,45000,46393,500,-1393
manual-fixed,350,35100,45000,46428,500,-1428
manual-fixed,351,35200,45000,46462,500,-1462
manual-fixed,352,35300,45000,46496,500,-1496
manual-fixed,353,35400,45000,46530,500,-1530
manual-fixed,354,35500,45000,46564,500,-1564
manual-fixed,355,35600,45000,46598,500,-1598
manual-fixed,356,35700,45000,46631,500,-1631
manual-fixed,357,35800,45000,46665,500,-1665
manual-fixed,358,35900,45000,46698,500,-1698
manual-fixed,359,36000,45000,46731,500,-1731
manual-fixed,360,36100,45000,46765,500,-1765
manual-fixed,361,36200,45000,46797,500,-1797
manual-fixed,362,36300,45000,46830,500,-1830
manual-fixed,363,36400,45000,46863,500,-1863
manual-fixed,364,36500,45000,46895,500,-1895
manual-fixed,365,36600,45000,46928,500,-1928
manual-fixed,366,36700,45000,46960,500,-1960
manual-fixed,367,36800,45000,46992,500,-1992
manual-fixed,368,36900,45000,47024,500,-2024
manual-fixed,369,37000,45000,47056,500,-2056
manual-fixed,370,37100,45000,47088,500,-2088
manual-fixed,371,37200,45000,47120,500,-2120
manual-fixed,372,37300,45000,47151,500,-2151
manual-fixed,373,37400,45000,47183,500,-2183
manual-fixed,374,37500,45000,47214,500,-2214
manual-fixed,375,37600,45000,47245,500,-2245
manual-fixed,376,37700,45000,47276,500,-2276
manual-fixed,377,37800,45000,47307,500,-2307
manual-fixed,378,37900,45000,47338,500,-2338
manual-fixed,379,38000,45000,47368,500,-2368
manual-fixed,380,38100,45000,47399,500,-2399
manual-fixed,381,38200,45000,47429,500,-2429
manual-fixed,382,38300,45000,47460,500,-2460
manual-fixed,383,38400,45000,47490,500,-2490
manual-fixed,384,38500,45000,47520,500,-2520
manual-fixed,385,38600,45000,47550,500,-2550
manual-fixed,386,38700,45000,47580,500,-2580
manual-fixed,387,38800,45000,47609,500,-2609
manual-fixed,388,38900,45000,47639,500,-2639
manual-fixed,389,39000,45000,47668,500,-2668
manual-fixed,390,39100,45000,47698,500,-2698
manual-fixed,391,39200,45000,47727,500,-2727
manual-fixed,392,39300,45000,47756,500,-2756
manual-fixed,393,39400,45000,47785,500,-2785
manual-fixed,394,39500,45000,47814,500,-2814
manual-fixed,395,39600,45000,47842,500,-2842
manual-fixed,396,39700,45000,47871,500,-2871
manual-fixed,397,39800,45000,47900,500,-2900
manual-fixed,398,39900,45000,47928,500,-2928
manual-fixed,399,40000,45000,47956,500,-2956
manual-fixed,400,40100,45000,47984,500,-2984
manual-fixed,401,40200,45000,48012,500,-3012
manual-fixed,402,40300,45000,48040,500,-3040
manual-fixed,403,40400,45000,48068,500,-3068
manual-fixed,404,40500,45000,48096,500,-3096
manual-fixed,405,40600,45000,48124,500,-3124
manual-fixed,406,40700,45000,48151,500,-3151
manual-fixed,407,40800,45000,48179,500,-3179
manual-fixed,408,40900,45000,48206,500,-3206
manual-fixed,409,41000,45000,48233,500,-3233
manual-fixed,410,41100,45000,48260,500,-3260
manual-fixed,411,41200,45000,48287,500,-3287
manual-fixed,412,41300,45000,48314,500,-3314
manual-fixed,413,41400,45000,48341,500,-3341
manual-fixed,414,41500,45000,48367,500,-3367
manual-fixed,415,41600,45000,48394,500,-3394
manual-fixed,416,41700,45000,48420,500,-3420
manual-fixed,417,41800,45000,48447,500,-3447
manual-fixed,418,41900,45000,48473,500,-3473
manual-fixed,419,42000,45000,48499,500,-3499
manual-fixed,420,42100,45000,48525,500,-3525
manual-fixed,421,42200,45000,48551,500,-3551
manual-fixed,422,42300,45000,48577,500,-3577
manual-fixed,423,42400,45000,48602,500,-3602
manual-fixed,424,42500,45000,48628,500,-3628
manual-fixed,425,42600,45000,48653,500,-3653
manual-fixed,426,42700,45000,48679,500,-3679
manual-fixed,427,42800,45000,48704,500,-3704
manual-fixed,428,42900,45000,48729,500,-3729
manual-fixed,429,43000,45000,48754,500,-3754
manual-fixed,430,43100,45000,48779,500,-3779
manual-fixed,431,43200,45000,48804,500,-3804
manual-fixed,432,43300,45000,48829,500,-3829
manual-fixed,433,43400,45000,48854,500,-3854
manual-fixed,434,43500,45000,48878,500,-3878
manual-fixed,435,43600,45000,48903,500,-3903
manual-fixed,436,43700,45000,48927,500,-3927
manual-fixed,437,43800,45000,48951,500,-3951
manual-fixed,438,43900,45000,48976,500,-3976
manual-fixed,439,44000,45000,49000,500,-4000
manual-fixed,440,44100,45000,49024,500,-4024
manual-fixed,441,44200,45000,49048,500,-4048
manual-fixed,442,44300,45000,49071,500,-4071
manual-fixed,443,44400,45000,49095,500,-4095
manual-fixed,444,44500,45000,49119,500,-4119
manual-fixed,445,44600,45000,49142,500,-4142
manual-fixed,446,44700,45000,49166,500,-4166
manual-fixed,447,44800,45000,49189,500,-4189
manual-fixed,448,44900,45000,49212,500,-4212
manual-fixed,449,45000,45000,49235,500,-4235
manual-fixed,450,45100,45000,49258,500,-4258
manual-fixed,451,45200,45000,49281,500,-4281
manual-fixed,452,45300,45000,49304,500,-4304
manual-fixed,453,45400,45000,49327,500,-4327
manual-fixed,454,45500,45000,49350,500,-4350
manual-fixed,455,45600,45000,49372,500,-4372
manual-fixed,456,45700,45000,49395,500,-4395
manual-fixed,457,45800,45000,49417,500,-4417
manual-fixed,458,45900,45000,49440,500,-4440
manual-fixed,459,46000,45000,49462,500,-4462
