*** Booting Zephyr OS build v3.7.0 ***
sequence,timestamp_ns,deadline_ns,actual_ns,jitter_ns
235,2360410800,2366006912,2366417712,410800
236,2370563152,2376006912,2376570064,563152
237,2380541712,2386006912,2386548624,541712
238,2390457776,2396006912,2396464688,457776
239,2400500928,2406006912,2406507840,500928
240,2410483296,2416006912,2416490208,483296
241,2420563280,2426006912,2426570192,563280
242,2430453808,2436006912,2436460720,453808
243,2440399392,2446006912,2446406304,399392
244,2450542256,2456006912,2456549168,542256
245,2460374384,2466006912,2466381296,374384
246,2470463840,2476006912,2476470752,463840
247,2480363616,2486006912,2486370528,363616
248,2490423632,2496006912,2496430544,423632
249,2500535920,2506006912,2506542832,535920
250,2510267072,2516006912,2516273984,267072
251,2520265424,2526006912,2526272336,265424
252,2530464320,2536006912,2536471232,464320
253,2540372448,2546006912,2546379360,372448
254,2550443728,2556006912,2556450640,443728
255,2560504032,2566006912,2566510944,504032
256,2570449120,2576006912,2576456032,449120
257,2580544736,2586006912,2586551648,544736
258,2590362704,2596006912,2596369616,362704
259,2600420864,2606006912,2606427776,420864
260,2610525008,2616006912,2616531920,525008
261,2620373632,2626006912,2626380544,373632
262,2630552864,2636006912,2636559776,552864
263,2640226240,2646006912,2646233152,226240
264,2650429136,2656006912,2656436048,429136
265,2660520256,2666006912,2666527168,520256
266,2670486672,2676006912,2676493584,486672
267,2680187328,2686006912,2686194240,187328
268,2690407248,2696006912,2696414160,407248
269,2700390384,2706006912,2706397296,390384
270,2710598768,2716006912,2716605680,598768
271,2720232224,2726006912,2726239136,232224
272,2730404080,2736006912,2736410992,404080
273,2740398656,2746006912,2746405568,398656
274,2750469056,2756006912,2756475968,469056
275,2760407984,2766006912,2766414896,407984
276,2770201536,2776006912,2776208448,201536
277,2780443136,2786006912,2786450048,443136
278,2790220464,2796006912,2796227376,220464
279,2800366448,2806006912,2806373360,366448
280,2810378256,2816006912,2816385168,378256
281,2820450288,2826006912,2826457200,450288
282,2830579024,2836006912,2836585936,579024
283,2840355056,2846006912,2846361968,355056
284,2850419376,2856006912,2856426288,419376
285,2860461856,2866006912,2866468768,461856
286,2870403232,2876006912,2876410144,403232
287,2880448160,2886006912,2886455072,448160
288,2890517536,2896006912,2896524448,517536
289,2900496528,2906006912,2906503440,496528
290,2910518992,2916006912,2916525904,518992
291,2920625968,2926006912,2926632880,625968
292,2930566384,2936006912,2936573296,566384
293,2940436672,2946006912,2946443584,436672
294,2950416352,2956006912,2956423264,416352
295,2960485296,2966006912,2966492208,485296
296,2970550224,2976006912,2976557136,550224
297,2980457920,2986006912,2986464832,457920
298,2990553824,2996006912,2996560736,553824
299,3000482768,3006006912,3006489680,482768
PERIODIC LATENCY COMPLETE samples=300
qemu-system-aarch64: terminating on signal 2 from pid 181353 (timeout)
