index,input0_f32_bits,input1_f32_bits,input2_f32_bits,input3_f32_bits,expected_output_f32_bits,expected_actuator_permille,rknn_output_f32_bits,rknn_actuator_permille,wall_ns,device_us
7938,3d586ec1,bcc27525,c0534880,3f0e5604,3f3d100b,739,3f3d2000,739,138248,131
7939,bebe646f,3ed561e5,4018bac7,3f50a3d7,00000000,0,00000000,0,137082,130
7940,3fbc75a3,3f10b9f5,404243fe,3d4ccccd,3f800000,1000,3f800000,1000,141749,133
7941,3fa03127,3d71f8a1,41137f63,3ebced91,3d9f110a,78,3d9ea000,77,138832,132
7942,4011b574,3f7bc6a8,c0b6154d,3e158106,3f800000,1000,3f800000,1000,136790,130
7943,401865e9,3fb440b8,c11485f0,3db645a2,3f800000,1000,3f800000,1000,137082,129
7944,c011efc8,bd87fcb9,4091573f,3f404189,00000000,0,00000000,0,138249,131
7945,3f85db77,3f547c85,c11c8c15,3eddb22d,3f800000,1000,3f800000,1000,136499,129
7946,401654b5,3fb47e28,40de3c9f,3eaf1aa0,3f800000,1000,3f800000,1000,137957,131
7947,bf5c28f6,3f6e809d,401d096c,3d3020c5,00000000,0,00000000,0,145832,139
7948,be6f544c,3fad4952,3ff4e704,3f74bc6a,3f5f6d97,873,3f5f4000,872,138832,131
7949,beb37f39,3ed7c505,c1080c4a,3efbe76d,3f800000,1000,3f800000,1000,136790,130
7950,3f6c5975,3f6ffe5d,3faa5e35,3f3374bc,3f800000,1000,3f800000,1000,137082,130
7951,3fc9057d,3fbfb2ff,c1199fbe,3cfdf3b6,3f800000,1000,3f800000,1000,137665,130
7952,bebb0dd8,bed753f8,40585d64,3c75c28f,00000000,0,00000000,0,137666,130
7953,4016d96a,3f8f1e4f,c0df0f28,3f024dd3,3f800000,1000,3f800000,1000,138249,131
7954,bf949e45,3e8b0be1,c113c3ca,3f6dd2f2,3f800000,1000,3f800000,1000,136499,129
7955,bf0e8a72,bb15182b,4089e00d,3dd2f1aa,00000000,0,00000000,0,135624,128
7956,4017c5ac,3fc7d773,410fe979,3f391687,3f800000,1000,3f800000,1000,137957,131
7957,c0059fd3,3dd54c98,bf9240b8,3e88b439,00000000,0,00000000,0,136207,129
7958,3f2266ba,be860c4a,407c3611,3f71a9fc,3e6b438d,230,3e6aa000,229,136790,130
7959,40103569,3f2eaf4f,c0b63afb,3f789375,3f800000,1000,3f800000,1000,136499,129
7960,402fe22e,3f9471de,c0f45879,3f5a1cac,3f800000,1000,3f800000,1000,136207,130
7961,bf027fa2,beaa1e4f,c09cee63,3f2c0831,3f370e0b,715,3f370000,715,137665,131
7962,c0147454,bda0e560,bf4d07c8,3ea353f8,00000000,0,00000000,0,136207,129
7963,4034a42b,3f8aded3,be974bc7,3d8b4396,3f800000,1000,3f800000,1000,135916,129
7964,40414025,3f944c98,c10d7247,3f25a1cb,3f800000,1000,3f800000,1000,138249,132
7965,3fef3b64,3f69ec57,4085afb8,3f747ae1,3f800000,1000,3f800000,1000,137082,130
7966,c00193b4,3d75c28f,40c87ae1,3f5eb852,00000000,0,00000000,0,137083,130
7967,3ee69d73,3f14dfa4,c0f2538f,00000000,3f800000,1000,3f800000,1000,136207,130
7968,3efcb685,be5b0f28,410d9a6b,3f1a5e35,00000000,0,00000000,0,137374,130
7969,bec732df,bed40347,c024902e,3f3cac08,3eb95898,362,3eb98000,362,136790,129
7970,401430d3,3f98bf48,40bd3eab,3ea9fbe7,3f800000,1000,3f800000,1000,136498,129
7971,bf7710cb,3f21a440,40ba8e8a,3eb95810,00000000,0,00000000,0,155165,148
7972,400153ce,3f7c7454,c0b42824,3edc28f6,3f800000,1000,3f800000,1000,138249,131
7973,3f82c3ca,3fa4be77,407973eb,3e6f9db2,3f800000,1000,3f800000,1000,137957,131
7974,bf08eb46,bec84b5e,c0d3bf48,3e439581,3f76774e,963,3f76a000,963,136790,129
7975,401d205c,3f4c4d01,40e8ea4b,3f722d0e,3f800000,1000,3f800000,1000,135916,128
7976,3d6d288d,3f4e9375,3de5fd8b,3efef9db,3f59e1ab,851,3f59e000,851,136499,129
7977,3f71c821,3f0b27bb,bf509d49,3ea3d70a,3f800000,1000,3f800000,1000,137374,130
7978,beeb94d9,bec23bcd,3fe42268,3df9db23,00000000,0,00000000,0,136499,129
7979,bf4f1562,bda6a162,40df58e2,3e8f5c29,00000000,0,00000000,0,137665,130
7980,bfd3d513,3e380d1b,bda12d77,3e8ed917,00000000,0,00000000,0,136207,129
7981,401b3722,3f688f5c,c0ecc3ca,3f781062,3f800000,1000,3f800000,1000,135915,129
7982,bf8f0846,3e214af5,41140be1,3e48b439,00000000,0,00000000,0,137082,129
7983,3ff694ee,3f763055,40d9db23,3df7ced9,3f800000,1000,3f800000,1000,137374,130
7984,be52c27a,3f4eb852,c004ef35,3e3126e9,3f800000,1000,3f800000,1000,137082,130
7985,3ef6e04c,3f9346dc,40456388,3f570a3d,3f800000,1000,3f800000,1000,137374,130
7986,bffba53c,bd44dd2f,4081930c,3e395810,00000000,0,00000000,0,137082,130
7987,bfdb5a86,3f0538ef,40eee632,3f595810,00000000,0,00000000,0,137957,131
7988,3f9e0ded,3f8f511a,40315b57,3f4f1aa0,3f800000,1000,3f800000,1000,135915,129
7989,3f1b7e91,3f79ae14,c0c4c155,3ee147ae,3f800000,1000,3f800000,1000,137374,130
7990,3f340e17,3f73b3d0,40fe6dc6,3e03126f,3ebed891,373,3ebea000,372,138249,131
7991,401e8b1a,3f6d9ce0,bf825aee,3f747ae1,3f800000,1000,3f800000,1000,139416,132
7992,c04b6c8b,bee5d495,407e1cac,3f451eb8,00000000,0,00000000,0,137374,130
7993,3fe59f2c,3fc3d3c3,c092fb7f,3ebe76c9,3f800000,1000,3f800000,1000,137082,130
7994,c00ff7cf,bf2c5048,405ae632,3f50a3d7,00000000,0,00000000,0,137374,130
7995,c021f362,bf147454,401cf909,3f15c28f,00000000,0,00000000,0,136207,128
7996,be9a8588,be0ae7d5,40f96944,3f41cac1,00000000,0,00000000,0,138249,131
7997,3ebc5586,3fcfe0df,407c0831,3f3ba5e3,3f800000,1000,3f800000,1000,135916,129
7998,3e140789,3f1f10cb,401ba440,3f4e978d,3ed1f8c0,410,3ed20000,410,138540,132
7999,bf80f27c,3f2585f0,408946dc,3f3e76c9,00000000,0,00000000,0,136790,130
8000,bfa0d25f,bca9ad43,408e240b,3d978d50,00000000,0,00000000,0,136207,129
8001,bec4dd2f,3f2d4d6a,c09ae219,3ea2d0e5,3f800000,1000,3f800000,1000,137082,130
8002,3f4883ba,3fc35e9e,3f38240b,3f2a3d71,3f800000,1000,3f800000,1000,138248,131
8003,3f463886,3f62c3ca,40581893,3eb645a2,3f800000,1000,3f800000,1000,137665,130
8004,3f0277c4,3e4e2824,3f1dbf48,3f266666,3f515be5,818,3f516000,818,135041,128
8005,c0076167,bec1e4f7,402d9168,3f170a3d,00000000,0,00000000,0,137957,131
8006,bf6460aa,bd46e979,3f97e5c9,3ec624dd,00000000,0,00000000,0,137374,130
8007,3f3f95d5,3efb6113,c0f30e56,3f7ef9db,3f800000,1000,3f800000,1000,138249,130
8008,3f07b5f2,3f8b17c2,c11fa4a9,3f056042,3f800000,1000,3f800000,1000,136208,129
8009,4022bb45,3fb458e2,c0881134,3f7a1cac,3f800000,1000,3f800000,1000,137082,130
8010,3f51244a,3f0bd07d,3f888659,3dba5e35,3f800000,1000,3f800000,1000,138832,132
8011,beccb535,bcb559b4,40e370a4,3e90624e,00000000,0,00000000,0,137374,130
8012,bfef9d0a,be51999a,411b0d84,3e0d4fdf,00000000,0,00000000,0,137373,130
8013,bf50ff97,3e74cccd,c0cd3c36,3f32b021,3f800000,1000,3f800000,1000,137957,130
8014,3feca383,3fbe4189,40c55810,3f19db23,3f800000,1000,3f800000,1000,139415,132
8015,3e892791,3f4bc77a,c0aa0d1b,3f1c6a7f,3f800000,1000,3f800000,1000,137374,130
8016,bf1a0664,3e2734d7,c0835810,3e418937,3f1fb3e5,624,3f1fe000,625,137374,130
8017,bf3e8a72,3f4c60aa,c0077660,3e54fdf4,3f44a5ad,768,3f44c000,769,137082,130
8018,bffee8d1,bf09013b,40a3c9ef,3f6353f8,00000000,0,00000000,0,136499,129
8019,4039a177,3fa44d01,40d92e49,3f553f7d,3f800000,1000,3f800000,1000,138249,130
8020,c048f909,bf35bb30,408721ff,3e8f5c29,00000000,0,00000000,0,138249,131
8021,3fe32d4d,3f103055,c0e99724,3f4872b0,3f800000,1000,3f800000,1000,135624,129
8022,3e4d9e84,3eb88e8a,40b645a2,3f041893,00000000,0,00000000,0,136499,130
